author_institution,country,chosen_latitude,chosen_longitude,total_authors,elite_authors,elite_percentage,is_elite
Central Connecticut State University,United States,41.69308472,-72.76481628,1,0.0,0.0,False
Central Electronics Engineering Research Institute,India,28.36700058,75.58409882,7,0.0,0.0,False
Central European Institute of Technology,Austria,47.58707047,14.14098835,3,0.0,0.0,False
Central European Institute of Technology,Czechia,49.74390411,15.33810616,3,0.0,0.0,False
Central Finland Health Care District,Finland,62.24170685,25.74957275,1,0.0,0.0,False
Central Forensic Laboratory of the Police,Poland,53.54864502,14.56573963,1,1.0,100.0,True
Central Hospital of Zibo,China,36.81309891,118.05480194,4,0.0,0.0,False
Central Institute of Mental Health,Germany,51.09198761,10.38080788,2,1.0,50.0,True
Central Institution for Meteorology and Geodynamics,Austria,47.58707047,14.14098835,6,2.0,33.33333333333333,True
Central Intelligence Agency,United States,39.6594429,-94.74984741,1,0.0,0.0,False
Central Mechanical Engineering Research Institute,India,23.54360962,87.29416656,1,0.0,0.0,False
Central Michigan University,United States,43.58980179,-84.77749634,2,1.0,50.0,True
Central Queensland University,Australia,-23.31962013,150.52156067,23,5.0,21.73913043478261,True
Central Road Research Institute,India,28.55019569,77.27574921,2,0.0,0.0,False
Central Scientific Instruments Organisation,India,22.35250664,79.36367798,2,0.0,0.0,False
Central South University,China,28.15379906,112.93763733,162,49.0,30.246913580246915,True
Central South University of Forestry and Technology,China,28.13920975,112.99192047,15,1.0,6.666666666666667,False
Central Statistical Office,Zambia,-14.51891232,27.55898857,7,0.0,0.0,False
Central Taiwan University of Science and Technology,"Taiwan, Province of China",24.17262268,120.73590851,1,0.0,0.0,False
Central University,Colombia,4.09991693,-72.90881348,1,0.0,0.0,False
Central University of Ecuador,Ecuador,-0.1999642,-78.50531006,1,0.0,0.0,False
Central University of Finance and Economics,China,39.95899963,116.34100342,6,1.0,16.666666666666664,False
Central University of Las Villas,Cuba,22.40662766,-79.96510315,3,0.0,0.0,False
Central University of Rajasthan,India,26.62389565,75.02735901,1,0.0,0.0,False
Central University of Tamil Nadu,India,10.81624413,79.61433411,3,0.0,0.0,False
Central University of Technology,South Africa,-29.12138939,26.2136097,3,0.0,0.0,False
Central University of Venezuela,"Venezuela, Bolivarian Republic of",10.49016094,-66.8915863,1,0.0,0.0,False
Central Washington University,United States,47.00672913,-120.53601074,1,0.0,0.0,False
CentraleSupélec,France,48.71025085,2.1605711,8,2.0,25.0,True
Centre Eugène Marquis,France,48.121102,-1.696222,2,1.0,50.0,True
Centre Européen de Recherche et de Formation Avancée en Calcul Scientifique,France,46.62480927,2.45837498,4,0.0,0.0,False
Centre For Cold Ocean Resources Engineering,Canada,62.57398605,-96.60810852,4,0.0,0.0,False
Centre For Innovation And Development,Czechia,49.74390411,15.33810616,1,0.0,0.0,False
Centre Georges François Leclerc,France,46.16046906,-1.15583086,1,1.0,100.0,True
Centre Hospitalier Départemental Vendée,France,46.67426682,-1.29512,1,0.0,0.0,False
Centre Hospitalier Interrégional Edith Cavell,Belgium,50.64095688,4.66128588,1,0.0,0.0,False
Centre Hospitalier Le Vinatier,France,46.38718414,0.74665159,1,0.0,0.0,False
Centre Hospitalier Régional Universitaire de Brest,France,48.38986969,-4.48717594,4,3.0,75.0,True
Centre Hospitalier Sainte-Anne,France,48.82855225,2.33915401,4,3.0,75.0,True
Centre Hospitalier Universitaire Henri-Mondor,France,46.62480927,2.45837498,1,0.0,0.0,False
Centre Hospitalier Universitaire Sainte-Justine,Canada,45.50310135,-73.62439728,2,1.0,50.0,True
Centre Hospitalier Universitaire d'Angers,France,47.46870041,-0.5588147,1,1.0,100.0,True
Centre Hospitalier Universitaire de Besançon,France,47.22494125,5.96261883,1,0.0,0.0,False
Centre Hospitalier Universitaire de Bordeaux,France,44.83499527,-0.57549518,1,1.0,100.0,True
Centre Hospitalier Universitaire de Caen,France,49.18466187,-0.36026391,3,1.0,33.33333333333333,True
Centre Hospitalier Universitaire de Grenoble,France,45.20100021,5.74499989,3,2.0,66.66666666666666,True
Centre Hospitalier Universitaire de La Réunion,France,44.29455566,0.1113112,2,0.0,0.0,False
Centre Hospitalier Universitaire de Lille,France,50.63128662,3.06275272,2,1.0,50.0,True
Centre Hospitalier Universitaire de Liège,Belgium,50.52053452,5.73649788,2,1.0,50.0,True
Centre Hospitalier Universitaire de Nancy,France,48.69078064,6.18246555,1,0.0,0.0,False
Centre Hospitalier Universitaire de Nice,France,43.70342636,7.26626539,1,0.0,0.0,False
Centre Hospitalier Universitaire de Reims,France,49.26279831,4.03469992,2,0.0,0.0,False
Centre Hospitalier Universitaire de Rennes,France,48.12083054,-1.69637001,3,1.0,33.33333333333333,True
Centre Hospitalier Universitaire de Rouen,France,49.41986465,1.05681503,1,1.0,100.0,True
Centre Hospitalier Universitaire de Saint-Pierre,Belgium,49.90378952,5.38738871,1,1.0,100.0,True
Centre Hospitalier Universitaire de Saint-Étienne,France,46.62480927,2.45837498,3,0.0,0.0,False
Centre Hospitalier Universitaire de Toulouse,France,43.61039734,1.39955294,1,0.0,0.0,False
Centre Hospitalier Universitaire de Tours,France,47.39029312,0.68885142,1,0.0,0.0,False
Centre Hospitalier d'Orsay,France,48.86022568,2.32542205,2,0.0,0.0,False
Centre Hospitalier de Dax –Côte d’Argent,France,43.70942307,-1.05548787,1,0.0,0.0,False
Centre Hospitalier de Gonesse,France,48.98685837,2.44849634,1,0.0,0.0,False
Centre Hospitalier de Luxembourg,Luxembourg,49.61865234,6.10167599,1,0.0,0.0,False
Centre Hospitalier de l'Agglomération de Nevers,France,46.9871788,3.16160274,3,1.0,33.33333333333333,True
Centre Hospitalier de l’Université de Montréal,Canada,45.50572586,-73.61325836,7,4.0,57.14285714285714,True
Centre Interdisciplinaire de Nanoscience de Marseille,France,43.29502106,5.37448692,1,0.0,0.0,False
Centre Jean Perrin,France,46.15146637,6.50214005,1,1.0,100.0,True
Centre Nantais de Sociologie,France,46.62480927,2.45837498,1,0.0,0.0,False
Centre National d'Études Spatiales,France,46.62480927,2.45837498,6,0.0,0.0,False
Centre National de Recherches Météorologiques,France,46.62480927,2.45837498,2,1.0,50.0,True
Centre National pour la Recherche Scientifique et Technique (CNRST),Morocco,31.17282104,-7.3362484,3,1.0,33.33333333333333,True
Centre Occitanie-Montpellier,France,43.60829163,3.87960339,2,0.0,0.0,False
Centre Oscar Lambret,France,48.70048904,-3.33523369,1,0.0,0.0,False
Centre Paul Albert-Février,France,46.62480927,2.45837498,1,0.0,0.0,False
Centre Pompidou,France,48.86062241,2.35223389,2,1.0,50.0,True
Centre Tecnologic de Telecomunicacions de Catalunya,Spain,41.79797363,1.52853096,4,0.0,0.0,False
Centre Universitaire de Mila,Algeria,36.45194244,6.26233101,7,0.0,0.0,False
Centre Val de Loire,France,47.48477936,1.68431699,1,0.0,0.0,False
Centre d'Enseignement et de Recherche en Environnement Atmosphérique,France,46.62480927,2.45837498,2,1.0,50.0,True
Centre d'Estudis Avançats de Blanes,Spain,41.67427444,2.79210305,2,1.0,50.0,True
Centre d'Etudes Prospectives et d'Informations Internationales,France,46.62480927,2.45837498,2,0.0,0.0,False
Centre d'Etudes et De Recherche en Informatique et Communications,France,46.62480927,2.45837498,5,0.0,0.0,False
Centre d'Etudes et de Recherches Appliquées à la Gestion,France,46.62480927,2.45837498,2,0.0,0.0,False
Centre d'Exploration et de Recherche Médicale par Emission de Positons,France,46.62480927,2.45837498,3,1.0,33.33333333333333,True
Centre d'Imagerie BioMedicale,Switzerland,46.80123901,8.23096466,7,2.0,28.57142857142857,True
Centre d'Écologie Fonctionnelle et Évolutive,France,46.62480927,2.45837498,7,3.0,42.857142857142854,True
Centre d'Économie de la Sorbonne,France,48.84860992,2.34278011,2,1.0,50.0,True
Centre d'Études Spatiales de la Biosphère,France,46.62480927,2.45837498,15,4.0,26.666666666666668,True
Centre d'études Européennes de Sciences Po,France,48.85417175,2.32846951,1,0.0,0.0,False
Centre de Biologie Structurale,France,46.62480927,2.45837498,2,0.0,0.0,False
Centre de Biologie et de Gestion des Populations,France,46.62480927,2.45837498,2,1.0,50.0,True
Centre de Coopération Internationale en Recherche Agronomique pour le Développement,France,46.62480927,2.45837498,10,2.0,20.0,True
Centre de Développement des Technologies Avancées,Algeria,28.0000267,2.9999826,1,0.0,0.0,False
Centre de Gestion Scientifique,France,46.62480927,2.45837498,6,0.0,0.0,False
Centre de Mathématiques Appliquées,France,46.62480927,2.45837498,3,1.0,33.33333333333333,True
Centre de Recerca Matemàtica,Spain,40.3901062,-3.55436611,3,0.0,0.0,False
Centre de Recherche des Cordeliers,France,45.76366043,4.83598423,1,1.0,100.0,True
Centre de Recherche en Acquisition et Traitement de l'Image pour la Santé,France,48.1167717,-1.23128068,4,0.0,0.0,False
Centre de Recherche en Astronomie Astrophysique et Géophysique,Algeria,28.0000267,2.9999826,1,0.0,0.0,False
Centre de Recherche en Cancérologie de Marseille,France,43.29502106,5.37448692,4,1.0,25.0,True
Centre de Recherche en Informatique,France,46.62480927,2.45837498,7,1.0,14.285714285714285,False
Centre de Recherche en Mathématiques de la Décision,France,46.62480927,2.45837498,2,1.0,50.0,True
Centre de Recherche en Santé de Nouna,Burkina Faso,12.73212147,-3.85869694,1,0.0,0.0,False
Centre de Recherche sur l'Environnement Alpin,Switzerland,46.80123901,8.23096466,1,1.0,100.0,True
Centre de Recherche sur l'Information Scientifique et Technique,Algeria,36.75899124,3.00426412,2,0.0,0.0,False
Centre de Recherches Insulaires et Observatoire de l'Environnement,French Polynesia,-17.64198685,-149.45758057,2,1.0,50.0,True
Centre de Robotique Intégrée d'Ile de France,France,48.7092514,2.50338602,1,0.0,0.0,False
Centre de recherche en Epidémiologie et Santé des Populations,France,46.62480927,2.45837498,4,3.0,75.0,True
Centre des Matériaux,France,46.62480927,2.45837498,1,0.0,0.0,False
Centre des Sciences du Goût et de l'Alimentation,France,46.62480927,2.45837498,1,0.0,0.0,False
Centre for Addiction and Mental Health,Canada,43.64455032,-79.41761017,17,4.0,23.52941176470588,True
Centre for Advanced Study,Bulgaria,42.60739899,25.48566246,1,0.0,0.0,False
"Centre for Arctic Gas Hydrate, Environment and Climate",Norway,59.91333008,10.7389698,1,0.0,0.0,False
Centre for Artificial Intelligence and Robotics,India,22.35250664,79.36367798,4,1.0,25.0,True
Centre for Astronomical Reseach of Lyon,France,45.76730728,4.83430672,1,1.0,100.0,True
Centre for Australian National Biodiversity Research,Australia,-26.27371407,134.12109375,1,0.0,0.0,False
Centre for Automation and Robotics,Spain,40.3901062,-3.55436611,38,4.0,10.526315789473683,False
Centre for Biomedical Engineering and Physics,Sweden,59.67497253,14.52085876,5,4.0,80.0,True
Centre for Cognitive Neuroscience,France,46.62480927,2.45837498,11,1.0,9.090909090909092,False
Centre for Cosmology and Particle Physics Phenomenology,Denmark,55.92668152,8.99186993,2,0.0,0.0,False
Centre for DNA Fingerprinting and Diagnostics,India,22.35250664,79.36367798,3,0.0,0.0,False
Centre for Development of Advanced Computing,India,22.35250664,79.36367798,6,0.0,0.0,False
Centre for Ecological Research,Hungary,47.18175888,19.50609398,2,2.0,100.0,True
Centre for Economic Policy Research,United Kingdom,53.9438324,-2.55056405,2,2.0,100.0,True
"Centre for Environment, Fisheries and Aquaculture Science",United Kingdom,53.9438324,-2.55056405,5,0.0,0.0,False
Centre for Eye Research Australia,Australia,-25.72804832,134.49017334,19,5.0,26.31578947368421,True
Centre for Genomic Regulation,Spain,41.38550186,2.19400001,10,4.0,40.0,True
Centre for High Performance Computing,South Africa,-28.99632072,25.08714294,2,0.0,0.0,False
Centre for Human Drug Research,Netherlands,52.24563217,5.62691021,7,3.0,42.857142857142854,True
"Centre for Immunity, Infection and Evolution",United Kingdom,53.9438324,-2.55056405,1,1.0,100.0,True
Centre for Inflammation Research,United Kingdom,53.9438324,-2.55056405,1,1.0,100.0,True
Centre for Interdisciplinary Research in Music Media and Technology,Canada,62.57398605,-96.60810852,2,1.0,50.0,True
Centre for Interdisciplinary Research in Rehabilitation,Canada,62.57398605,-96.60810852,2,0.0,0.0,False
Centre for Marine Socioecology,Australia,-25.72804832,134.49017334,3,2.0,66.66666666666666,True
Centre for Medical Systems Biology,Netherlands,52.24563217,5.62691021,2,0.0,0.0,False
Centre for Nanoscience and Nanotechnology,France,48.71220016,2.19630003,6,1.0,16.666666666666664,False
Centre for Palaeogenetics,Sweden,59.67497253,14.52085876,3,0.0,0.0,False
"Centre for Processes, Renewable Energies and Energy Systems",France,46.62480927,2.45837498,2,0.0,0.0,False
Centre for Quantum Computation and Communication Technology,Australia,-25.72804832,134.49017334,37,8.0,21.62162162162162,True
Centre for Quantum Technologies,Singapore,1.29709995,103.77809906,2,1.0,50.0,True
Centre for Research and Development in Telecommunications (Brazil),Brazil,-10.33333302,-53.20000076,3,0.0,0.0,False
Centre for Research and Teaching in Environmental Geoscience,France,46.62480927,2.45837498,1,0.0,0.0,False
Centre for Research and Technology Hellas,Greece,38.99536896,21.98771286,13,1.0,7.6923076923076925,False
Centre for Research in Anthropology,Portugal,39.68219757,-7.96828794,4,1.0,25.0,True
Centre for Research on Ecology and Forestry Applications,Spain,40.3901062,-3.55436611,1,1.0,100.0,True
Centre for Social Innovation,Austria,47.58707047,14.14098835,2,0.0,0.0,False
Centre for Social Innovation,Canada,62.57398605,-96.60810852,2,0.0,0.0,False
Centre for Social Justice,United Kingdom,53.9438324,-2.55056405,1,0.0,0.0,False
Centre for Structural Systems Biology,Germany,51.09198761,10.38080788,1,0.0,0.0,False
Centre for Studies in Economics and Finance,Italy,43.52555084,12.1600008,1,0.0,0.0,False
Centre for Sustainable Energy,United Kingdom,51.49192047,-2.7580092,7,1.0,14.285714285714285,False
Centre for Ultrahigh Bandwidth Devices for Optical Systems,Australia,-25.72804832,134.49017334,1,0.0,0.0,False
Centre for the Study of Developing Societies,India,22.35250664,79.36367798,1,0.0,0.0,False
Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec,Canada,46.28300095,-72.06700134,1,0.0,0.0,False
Centre of Advanced Studies,Russian Federation,64.68630981,97.74530792,1,0.0,0.0,False
Centre of Biotechnology of Sfax,Tunisia,34.7394371,10.76040268,1,0.0,0.0,False
"Centre of Excellence for Health, Immunity and Infections",Denmark,55.92668152,8.99186993,5,1.0,20.0,True
Centre of Natural Hazards and Disaster Science,Sweden,59.67497253,14.52085876,1,0.0,0.0,False
Centro Agronomico Tropical de Investigacion y Ensenanza Catie,Costa Rica,9.97902107,-84.19512939,4,0.0,0.0,False
Centro Brasileiro de Pesquisas Físicas,Brazil,-22.95402718,-43.17392731,2,1.0,50.0,True
Centro Cardiologico Monzino,Italy,43.52555084,12.1600008,9,6.0,66.66666666666666,True
Centro Científico Tecnológico - Bahía Blanca,Argentina,-38.71765137,-62.26548767,5,0.0,0.0,False
Centro Científico Tecnológico - Nordeste,Argentina,-34.99649811,-64.96728516,1,0.0,0.0,False
Centro Científico Tecnológico - San Juan,Argentina,-31.5370903,-68.525177,5,0.0,0.0,False
Centro Científico Tecnológico - Tandil,Argentina,-37.32828903,-59.13569641,10,0.0,0.0,False
Centro Científico Tecnológico Patagónico,Argentina,-34.99649811,-64.96728516,1,0.0,0.0,False
Centro Hospitalar de Vila Nova de Gaia,Portugal,41.13589478,-8.63318062,1,0.0,0.0,False
Centro Internacional Franco-Argentino de Ciencias de la Información y de Sistemas,Argentina,-34.99649811,-64.96728516,6,0.0,0.0,False
Centro Internacional de Mejoramiento de Maíz Y Trigo,Mexico,23.93359184,-102.50969696,10,5.0,50.0,True
Centro Nacional de Biotecnología,Spain,40.3901062,-3.55436611,16,5.0,31.25,True
Centro Nacional de Investigación y Desarrollo Tecnológico,Mexico,28.6814003,-100.57830048,1,0.0,0.0,False
Centro Neurolesi Bonino Pulejo,Italy,43.52555084,12.1600008,14,4.0,28.57142857142857,True
Centro Regional de Selección y Reproducción Animal,Spain,40.3901062,-3.55436611,4,2.0,50.0,True
Centro Ricerche FIAT,Italy,43.52555084,12.1600008,1,0.0,0.0,False
Centro Ricerche Produzioni Animali,Italy,43.52555084,12.1600008,1,0.0,0.0,False
Centro San Giovanni di Dio Fatebenefratelli,Italy,43.52555084,12.1600008,4,2.0,50.0,True
Centro Studi Luca d’Agliano,Italy,42.60422134,12.18798161,1,0.0,0.0,False
Centro Sviluppo Materiali (Italy),Italy,42.0,14.0,2,0.0,0.0,False
"Centro Tecnológico de Investigación, Desarrollo e Innovación en tecnologías de la Información y las Comunicaciones (TIC)",Spain,40.3901062,-3.55436611,7,3.0,42.857142857142854,True
Centro Tecnolóxico de Telecomunicacións de Galicia,Spain,42.75677872,-7.90993309,7,0.0,0.0,False
Centro Universitario de la Defensa,Spain,40.3901062,-3.55436611,2,0.0,0.0,False
Centro Universitário Maurício de Nassau,Brazil,-8.27270222,-35.97393417,1,0.0,0.0,False
Centro Universitário da FEI,Brazil,-23.72648811,-46.5807991,4,0.0,0.0,False
Centro Universitário de Anápolis,Brazil,-16.33328247,-48.95257568,4,1.0,25.0,True
Centro Universitário de Belo Horizonte,Brazil,-19.9716568,-43.9632988,1,0.0,0.0,False
Centro de Cirugía de Mínima Invasión Jesús Usón,Spain,41.94008255,-0.221968,5,0.0,0.0,False
Centro de Estudios Monetarios y Financieros,Spain,40.3901062,-3.55436611,1,1.0,100.0,True
Centro de Estudios de Física del Cosmos de Aragón,Spain,41.51927948,-0.65994799,2,2.0,100.0,True
Centro de Estudios y Experimentación de Obras Públicas,Spain,40.3901062,-3.55436611,1,0.0,0.0,False
Centro de Ingeniería Genética y Biotecnología,Cuba,23.013134,-80.83287811,2,0.0,0.0,False
Centro de Investigacion Principe Felipe,Spain,35.87643433,-5.34492826,1,1.0,100.0,True
Centro de Investigaciones Cardiovasculares,Argentina,-34.99649811,-64.96728516,1,0.0,0.0,False
"Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas",Spain,40.3901062,-3.55436611,3,3.0,100.0,True
Centro de Investigación Biomédica en Red de Enfermedades Respiratorias,Spain,40.3901062,-3.55436611,1,1.0,100.0,True
Centro de Investigación Biomédica en Red de Salud Mental,Spain,40.3901062,-3.55436611,8,5.0,62.5,True
Centro de Investigación en Red en Enfermedades Cardiovasculares,Spain,40.3901062,-3.55436611,1,1.0,100.0,True
Centro de Investigación y Desarrollo,Spain,40.3901062,-3.55436611,5,1.0,20.0,True
Centro de Investigación y Docencia Económicas,Mexico,19.37429237,-99.26377106,1,1.0,100.0,True
Centro de Investigación y Estudios Superiores en Antropología Social,Mexico,23.93359184,-102.50969696,1,0.0,0.0,False
Centro de Referência em Informação Ambiental,Brazil,-10.33333302,-53.20000076,2,0.0,0.0,False
Centro de Tecnologia da Informação Renato Archer,Brazil,-10.33333302,-53.20000076,1,0.0,0.0,False
Centro de Tecnologias Estratégicas do Nordeste,Brazil,-8.5817194,-41.61223602,3,0.0,0.0,False
Centro di Riferimento Oncologico,Italy,43.52555084,12.1600008,1,0.0,0.0,False
Centrum Wiskunde & Informatica,Netherlands,52.35639191,4.95194006,23,7.0,30.434782608695656,True
CereProc (United Kingdom),United Kingdom,53.9438324,-2.55056405,1,0.0,0.0,False
Cereal Disease Laboratory,United States,40.15261459,-80.21165466,2,1.0,50.0,True
Cereneo,Switzerland,46.80123901,8.23096466,1,0.0,0.0,False
Cerner (United States),United States,40.21833038,-79.48777771,2,0.0,0.0,False
Cerro Tololo Inter-American Observatory,Chile,-30.16916656,-70.80583191,4,4.0,100.0,True
Chabot College,United States,37.64254761,-122.1068573,1,0.0,0.0,False
Chalmers University of Technology,Sweden,57.68959045,11.97702217,91,23.0,25.274725274725274,True
Chaminade University of Honolulu,United States,21.29016805686898,-157.80774540562123,1,1.0,100.0,True
Champalimaud Foundation,Portugal,39.68219757,-7.96828794,20,6.0,30.0,True
Champlain College,United States,44.47319794,-73.20383453,2,0.0,0.0,False
Chan Zuckerberg Initiative (United States),United States,40.21833038,-79.48777771,6,2.0,33.33333333333333,True
Chandigarh University,India,31.75287437,74.59686279,12,0.0,0.0,False
Chang Bing Show Chwan Memorial Hospital,"Taiwan, Province of China",23.79999924,121.0,1,0.0,0.0,False
Chang Gung Memorial Hospital,"Taiwan, Province of China",25.07752396,121.3665539,5,0.0,0.0,False
Chang Gung University,"Taiwan, Province of China",23.79999924,121.0,5,0.0,0.0,False
Chang Jung Christian University,"Taiwan, Province of China",22.90272141,120.2725296,2,0.0,0.0,False
Chang'an University,China,36.55937195,103.7533493,46,7.0,15.217391304347828,False
"Changchun Institute of Optics, Fine Mechanics and Physics",China,43.81665802,125.32362366,13,4.0,30.76923076923077,True
Changchun Institute of Technology,China,43.81665802,125.32362366,1,1.0,100.0,True
Changchun Normal University,China,34.19442749,117.1900177,1,0.0,0.0,False
Changchun University of Science and Technology,China,43.82799911,125.30799866,8,0.0,0.0,False
Changhua Christian Hospital,"Taiwan, Province of China",23.79999924,121.0,3,0.0,0.0,False
Changi General Hospital,Singapore,1.34054899,103.94959259,1,0.0,0.0,False
Changjiang Water Resources Commission,China,36.55937195,103.7533493,3,1.0,33.33333333333333,True
Changsha Normal University,China,28.24148941,113.07849884,1,0.0,0.0,False
Changsha University,China,28.24092102,113.03083801,7,3.0,42.857142857142854,True
Changsha University of Science and Technology,China,31.82197189,117.28058624,32,7.0,21.875,True
Changshu Institute of Technology,China,31.65530777,120.75270844,4,1.0,25.0,True
Changshu No.1 People's Hospital,China,31.2184487,121.4467367,1,0.0,0.0,False
Changwon National University,"Korea, Republic of",35.27082825,128.66305542,6,1.0,16.666666666666664,False
Changzhi University,China,36.19512939,113.1177063,2,0.0,0.0,False
Changzhou No.2 People's Hospital,China,36.28264,120.01464,1,0.0,0.0,False
Changzhou University,China,31.81062126,119.97442627,5,2.0,40.0,True
Changzhou Vocational Institute of Textile and Garment,China,31.81062126,119.97442627,1,0.0,0.0,False
Chaoyang University of Technology,"Taiwan, Province of China",24.06870079,120.71471405,10,0.0,0.0,False
Chapman University,United States,33.79437637,-117.8511734,21,1.0,4.761904761904762,False
Character,United States,39.50357056,-99.01834106,1,0.0,0.0,False
Charing Cross Hospital,United Kingdom,51.48693848,-0.2196479,11,2.0,18.181818181818183,False
Charité - Universitätsmedizin Berlin,Germany,52.52365112,13.37823009,87,32.0,36.7816091954023,True
Charles Darwin University,Australia,-12.37139702,130.86813354,9,1.0,11.11111111111111,False
Charles Sturt University,Australia,-35.30472946,149.13822937,26,5.0,19.230769230769234,False
Charles University,Czechia,49.74390411,15.33810616,25,2.0,8.0,False
Charoenkrung Pracharak Hospital,Thailand,15.13178921,101.01837921,1,0.0,0.0,False
Charotar University of Science and Technology,India,22.59943962,72.82028198,4,0.0,0.0,False
Chatham House,United Kingdom,51.50770187,-0.13600001,3,1.0,33.33333333333333,True
Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya,India,32.10100174,76.54699707,1,0.0,0.0,False
Chelsea and Westminster Hospital,United Kingdom,51.48436356,-0.1815407,3,0.0,0.0,False
Chelyabinsk State Medical Academy,Russian Federation,55.14010239,61.37263489,1,0.0,0.0,False
Chemnitz University of Technology,Germany,50.81576538,12.93005943,12,2.0,16.666666666666664,False
Cheng Hsin General Hospital,"Taiwan, Province of China",25.1160536210472,121.52286479451806,1,0.0,0.0,False
Cheng Shiu University,"Taiwan, Province of China",22.65085793,120.34954071,3,1.0,33.33333333333333,True
Chengdu University,China,30.64949989,104.18800354,24,7.0,29.166666666666668,True
Chengdu University of Information Technology,China,30.58444023,103.98693848,8,0.0,0.0,False
Chengdu University of Technology,China,30.6739521,104.13547516,10,3.0,30.0,True
Chengdu University of Traditional Chinese Medicine,China,30.17602921,120.1463089,1,1.0,100.0,True
Chengdu Women's and Children's Central Hospital,China,30.5725193,104.06651306,1,0.0,0.0,False
Chenomx (Canada),Canada,62.57398605,-96.60810852,1,0.0,0.0,False
Chettinad Academy of Research and Education,India,22.35250664,79.36367798,2,0.0,0.0,False
Chevron (United Kingdom),United Kingdom,53.9438324,-2.55056405,1,0.0,0.0,False
Chi Mei Medical Center,"Taiwan, Province of China",23.79999924,121.0,1,0.0,0.0,False
Chia Nan University of Pharmacy and Science,"Taiwan, Province of China",22.92165756,120.22790527,3,0.0,0.0,False
Chiang Mai Rajabhat University,Thailand,18.80736351,98.98664093,1,0.0,0.0,False
Chiang Mai University,Thailand,18.80784607,98.95465851,5,0.0,0.0,False
Chiayi Chang Gung Memorial Hospital,"Taiwan, Province of China",23.46263985487832,120.28608326561896,5,1.0,20.0,True
Chiba Cancer Center,Japan,35.60739899,140.10626221,4,4.0,100.0,True
Chiba University,Japan,35.63111496,140.09663391,21,8.0,38.095238095238095,True
Chicago State University,United States,41.71788406,-87.60940552,1,0.0,0.0,False
Chicago Zoological Society,United States,41.8340416,-87.88023376,1,1.0,100.0,True
Chifeng University,China,42.25780106,118.88716888,2,0.0,0.0,False
Child Mind Institute,United States,38.38342285,-81.76409912,9,0.0,0.0,False
Children's Center,United States,39.50357056,-99.01834106,3,0.0,0.0,False
Children's Healthcare of Atlanta,United States,33.7485466,-84.39150238,6,1.0,16.666666666666664,False
Children's Hospital Colorado,United States,39.74180984,-104.83454895,2,0.0,0.0,False
Children's Hospital at Montefiore,United States,40.88037491,-73.8790741,2,1.0,50.0,True
Children's Hospital at Westmead,Australia,-33.80680084,150.98460388,2,2.0,100.0,True
Children's Hospital of Chongqing Medical University,China,29.53580093,106.50499725,1,1.0,100.0,True
Children's Hospital of Eastern Ontario,Canada,45.40061188,-75.65144348,2,0.0,0.0,False
Children's Hospital of Los Angeles,United States,34.09749985,-118.29055786,4,1.0,25.0,True
Children's Hospital of Michigan,United States,42.35161209,-83.05496979,2,1.0,50.0,True
Children's Hospital of Orange County,United States,33.78139114,-117.86528015,5,1.0,20.0,True
Children's Hospital of Philadelphia,United States,39.94771957,-75.19469452,23,16.0,69.56521739130434,True
Children's Hospital of Pittsburgh,United States,40.44216919,-79.99495697,2,1.0,50.0,True
Children's Medical Center,United States,32.80900574,-96.83731842,6,2.0,33.33333333333333,True
Children's Medical Research Institute,Australia,-25.72804832,134.49017334,1,1.0,100.0,True
Children's Museum of Manhattan,United States,40.7858696,-73.97731018,1,0.0,0.0,False
Children's National,United States,38.92710495,-77.01400757,7,4.0,57.14285714285714,True
Children's Nutrition Research Center at Baylor College of Medicine,United States,29.71037674,-95.39594269,3,3.0,100.0,True
"Chimie Moléculaire, Macromoléculaire, Matériaux",France,46.62480927,2.45837498,2,2.0,100.0,True
Chimie de la Matière Condensée de Paris,France,48.8943106,2.35831809,1,1.0,100.0,True
China Academy of Building Research,China,36.55937195,103.7533493,1,0.0,0.0,False
China Academy of Engineering Physics,China,36.55937195,103.7533493,4,0.0,0.0,False
China Academy of Information and Communications Technology,China,36.55937195,103.7533493,2,1.0,50.0,True
China Academy of Railway Sciences,China,36.55937195,103.7533493,3,1.0,33.33333333333333,True
China Academy of Space Technology,China,36.55937195,103.7533493,3,0.0,0.0,False
China Aerodynamics Research and Development Center,China,36.55937195,103.7533493,2,0.0,0.0,False
China Aerospace Science and Industry Corporation (China),China,36.55937195,103.7533493,2,0.0,0.0,False
China Aerospace Science and Technology Corporation,China,36.55937195,103.7533493,1,1.0,100.0,True
China Agricultural University,China,40.00195694,116.35482025,100,22.0,22.0,True
China Datang Corporation (China),China,30.29429245,103.36859894,4,0.0,0.0,False
China Earthquake Administration,China,36.55937195,103.7533493,10,3.0,30.0,True
China Electronic Information Industry Development,China,36.55937195,103.7533493,1,0.0,0.0,False
China Electronic Product Reliability and Environmental Test Institute,China,36.55937195,103.7533493,1,0.0,0.0,False
China Electronics Technology Group Corporation,China,36.55937195,103.7533493,2,0.0,0.0,False
China Europe International Business School,China,31.20079994,121.42970276,1,0.0,0.0,False
China Geological Survey,China,36.55937195,103.7533493,2,0.0,0.0,False
