institution,latitude,longitude,is_elite,number_of_authors
ARC Centre of Excellence for Mathematical and Statistical Frontiers,46.51839066,6.64528418,1,1
ARC Centre of Excellence for Particle Physics at the Terascale,39.19805908,-106.82888794,0,2
ARC Centre of Excellence for Particle Physics at the Terascale,39.19805908,-106.82888794,1,2
ARC Centre of Excellence in Cognition and its Disorders,34.15884399,-85.66727448,0,1
ARC Centre of Excellence in Cognition and its Disorders,34.15884399,-85.66727448,1,2
ARC Centre of Excellence in Synthetic Biology,38.64951706,-121.34680176,1,1
ARM (United Kingdom),53.9438324,-2.55056405,0,2
ARUP Laboratories (United States),39.50357056,-99.01834106,1,1
ASA College,40.69141769,-73.98618317,0,1
ASST Fatebenefratelli Sacco,40.37893295,15.37811565,0,1
AT&T (United States),53.693051,13.247304,0,13
AT&T (United States),53.693051,13.247304,1,8
ATA Engineering (United States),40.35055161,-74.65154266,0,1
AVIC Optronics (China),36.55937195,103.7533493,0,1
AXA (France),46.62480927,2.45837498,0,2
AZ Sint-Jan,34.29322815,-111.66459656,0,2
AZ Sint-Lucas,34.29322815,-111.66459656,0,1
AZ Sint-Lucas,34.29322815,-111.66459656,1,1
Aalborg University,57.0477157,9.9193088,0,86
Aalborg University,57.0477157,9.9193088,1,32
Aalborg University Hospital,57.01528549,9.97899532,1,1
Aalto University,60.18643951,24.82733727,0,126
Aalto University,60.18643951,24.82733727,1,35
Aarhus University,56.15522385,10.17289734,0,98
Aarhus University,56.15522385,10.17289734,1,28
Aarhus University Hospital,56.19087982,10.170434,0,11
Aarhus University Hospital,56.19087982,10.170434,1,9
AbbVie (United States),54.934252,48.832776,0,4
Abbottabad University of Science and Technology,34.06816101,73.14945221,0,3
Abdelmalek Essaâdi University,34.88711548,10.84641647,0,5
Abdul Latif Jameel Poverty Action Lab,48.361363,16.972676,0,2
Abdul Wali Khan University Mardan,34.15090179,72.04740143,0,3
Abdul Wali Khan University Mardan,34.15090179,72.04740143,1,5
Abdullah Gül University,38.73703384,35.47355652,0,1
Abdus Salam Centre for Physics,9.9648,15.42002,0,2
Aberdeen Royal Infirmary,57.15504456,-2.13490629,0,1
Abertay University,56.46316528,-2.97491789,0,12
Abertay University,56.46316528,-2.97491789,1,1
Aberystwyth University,52.4180603,-4.06576014,0,35
Aberystwyth University,52.4180603,-4.06576014,1,12
Abilene Christian University,32.445602,-99.747894,0,3
Abu Dhabi University,24.36651611,54.56472015,0,7
Academia Sinica,51.63531113,15.08882523,0,11
Academia Sinica,51.63531113,15.08882523,1,3
Academic Center for Dentistry Amsterdam,52.37316513,4.89065981,0,3
Academic Center for Dentistry Amsterdam,52.37316513,4.89065981,1,1
Academic College of Tel Aviv-Yafo,32.08530045,34.78180695,0,2
Academic Medical Center,52.29209137,4.95624399,0,6
Academic Medical Center,52.29209137,4.95624399,1,14
Academy of Athens,37.97999954,23.7341671,0,2
Academy of Athens,37.97999954,23.7341671,1,2
Academy of Mathematics and Systems Science,39.96107864,-75.16163635,0,11
Academy of Mathematics and Systems Science,39.96107864,-75.16163635,1,9
Academy of Military Medical Sciences,38.65811157,-90.26731873,0,1
Academy of Nutrition and Dietetics,38.65811157,-90.26731873,0,1
Academy of Sciences Malaysia,3.6024549,114.70446777,0,1
Academy of Scientific and Innovative Research,28.68804169,77.46538544,0,3
Acadia Pharmaceuticals (United States),39.50357056,-99.01834106,0,1
Acadia Pharmaceuticals (United States),39.50357056,-99.01834106,1,2
Acadia University,45.08666611,-64.3653717,0,4
Accademia Italiana Medicina Osteopatica,43.77649689,11.25846004,0,1
Acceleron Pharma (United States),39.50357056,-99.01834106,0,1
Accenture (United Kingdom),53.9438324,-2.55056405,0,2
Accenture (United States),39.50357056,-99.01834106,0,1
Access to Wholistic and Productive Living Institute,38.38342285,-81.76409912,0,1
Acellera (Spain),40.3901062,-3.55436611,0,3
Acer (Taiwan),24.0,121.0,0,1
Acharya Nagarjuna University,16.37754059,80.52629089,0,3
Acoustic MedSystems (United States),39.50357056,-99.01834106,0,1
Acpharis,42.1652,41.66394,1,1
Action for ME,45.34664536,-69.21614075,0,2
Acumen Pharmaceuticals (United States),39.50357056,-99.01834106,1,1
Acushnet (United States),41.68038177,-70.90426636,0,1
Acıbadem University,41.00178146,29.03874016,0,1
Adam Mickiewicz University in Poznań,26.921727,95.465176,0,4
Adam Mickiewicz University in Poznań,26.921727,95.465176,1,1
Adam Smith Institute,34.1850853,-86.04980469,0,4
Adam Smith Institute,34.1850853,-86.04980469,1,1
Adamson University,14.58647442,120.98596954,0,1
Addenbrooke's Hospital,34.07899857,-117.69599915,0,2
Addenbrooke's Hospital,34.07899857,-117.69599915,1,1
Addis Ababa University,9.0107934,38.7612525,1,1
Adekunle Ajasin University,25.13563347,85.4458313,0,1
Adelphi University,40.72000122,-73.65200043,0,2
Aditya Birla (India),30.56347656,77.43922424,0,1
Adler Planetarium,43.161658,-5.623096,0,2
Adnan Menderes University,37.85469818,27.85470009,0,1
Adobe Systems (United States),39.50357056,-99.01834106,0,37
Adobe Systems (United States),39.50357056,-99.01834106,1,24
Adolfo Ibáñez University,-33.42135239,-70.5916214,0,1
"Advanced Centre for Treatment, Research and Education in Cancer",34.15884399,-85.66727448,0,4
Advanced Digital Sciences Center,53.43283463,14.54818726,0,4
Advanced Digital Sciences Center,53.43283463,14.54818726,1,5
Advanced Dynamics (United States),39.50357056,-99.01834106,0,1
Advanced Genomic Technology (United States),39.50357056,-99.01834106,0,2
Advanced Imaging Research (United States),39.50357056,-99.01834106,0,12
Advanced Imaging Research (United States),39.50357056,-99.01834106,1,6
Advanced Institute of Convergence Technology,40.945847,40.266544,0,2
Advanced Institute of Convergence Technology,40.945847,40.266544,1,1
Advanced Manufacturing Research Centre,31.795288,-94.1803,0,2
Advanced Micro Devices (United States),39.50357056,-99.01834106,0,1
Advanced Neural Dynamics (United States),39.50357056,-99.01834106,0,10
Advanced Neural Dynamics (United States),39.50357056,-99.01834106,1,2
Advanced Research Center for Nanolithography (Netherlands),52.24563217,5.62691021,0,1
Advanced Technologies Group (United States),35.940987,-80.409676,0,8
Advanced Technologies Group (United States),35.940987,-80.409676,1,2
Advanced Technology Group (Czechia),49.74390411,15.33810616,0,1
Advanced Telecommunications Research Institute International,40.43431473,-3.69105792,0,12
AdventHealth Orlando,28.5751152,-81.37075806,0,2
Adıyaman University,37.74441528,38.23134613,0,3
Aerospace Information Research Institute,-37.706576,145.187353,0,20
Aerospace Information Research Institute,-37.706576,145.187353,1,7
Afeka College of Engineering,18.53056145,73.85678864,0,5
Affiliated Eye Hospital of Wenzhou Medical College,27.99408913,120.69937134,0,1
Affiliated Hospital of Guizhou Medical University,40.945847,40.266544,0,1
Affiliated Hospital of Hangzhou Normal University,30.24592018,120.21079254,0,3
Affiliated Hospital of Hangzhou Normal University,30.24592018,120.21079254,1,1
Affiliated Hospital of Qingdao University,36.0719986,120.4280014,0,15
Affiliated Hospital of Qingdao University,36.0719986,120.4280014,1,6
Affiliated Hospital of Shandong University of Traditional Chinese Medicine,40.945847,40.266544,0,6
Affiliated Hospital of Southwest Medical University,40.81893921,111.65563202,0,2
Affiliated Hospital of Southwest Medical University,40.81893921,111.65563202,1,1
Affiliated Zhongshan Hospital of Dalian University,38.87443924,121.53360748,0,2
Africa Center,2.09910059,17.29421425,0,1
African Conservation Centre,9.09924889,8.68475914,0,2
African Development Bank Group,5.33150864,-4.02215433,0,1
Afyon Kocatepe University,38.74007416,30.56483459,0,1
Agder Research,-37.706576,145.187353,0,1
Age UK,53.9438324,-2.55056405,1,1
Agence pour le Développement et la Réhabilitation de la Ville de Fès,34.02724457,-5.00935364,1,1
Agencia Estatal de Meteorología,39.97042084,32.86175156,0,1
Agency for Defense Development,48.257267,-109.77944183,0,3
Agency for Healthcare Research and Quality,-37.70576477,145.18823242,0,1
Agency for Integrated Care,40.99490738,-92.30498505,1,1
"Agency for Science, Technology and Research",-37.70576477,145.18823242,0,7
"Agency for Science, Technology and Research",-37.70576477,145.18823242,1,3
Agenzia Regionale per la Protezione Ambientale,34.054077,-118.24168,0,2
Agenzia Regionale per la Protezione dell’Ambiente Ligure,34.05223846,-118.24334717,0,1
Agilent Technologies (Germany),51.09198761,10.38080788,0,5
Agilent Technologies (United States),39.50357056,-99.01834106,0,12
Agilent Technologies (United States),39.50357056,-99.01834106,1,1
Agios Pavlos General Hospital,19.41360855,-99.15371704,0,3
Agora University,37.97520447,23.72255898,0,1
Agostino Gemelli University Polyclinic,41.93027878,12.42972183,0,6
AgriBio,38.6255,21.409353,1,1
Agricultural & Applied Economics Association,48.82244492,2.33122206,0,3
Agricultural Development Advisory Service (United Kingdom),53.9438324,-2.55056405,0,3
Agricultural Marketing Service,42.95611954,12.6946516,1,1
Agricultural Research & Education Organization,-37.70576477,145.18823242,0,1
Agricultural Research Council of South Africa,-28.99632072,25.08714294,0,1
Agricultural Research Organization,-37.70576477,145.18823242,0,5
Agricultural Research Organization,-37.70576477,145.18823242,1,2
Agricultural Research Service,-37.70576477,145.18823242,0,4
Agricultural Research Service,-37.70576477,145.18823242,1,3
Agricultural University of Athens,37.98242188,23.70431328,0,18
Agricultural University of Athens,37.98242188,23.70431328,1,5
Agriculture Victoria,-36.85008621,144.30429077,0,1
Agriculture Victoria,-36.85008621,144.30429077,1,2
Agriculture and Agri-Food Canada,62.57398605,-96.60810852,0,2
Agriculture and Agri-Food Canada,62.57398605,-96.60810852,1,4
Agriculture and Food,0.69168782,30.24746132,0,3
Agriculture and Food,0.69168782,30.24746132,1,4
Agrifood Research Finland,63.24677658,25.9209156,0,1
Agropolis International,43.64482498,3.86971545,0,1
Ahmadu Bello University,6.33499718,-75.55826569,0,2
Ahmedabad University,23.03899956,72.55599976,0,1
Ahmedabad University,23.03899956,72.55599976,1,1
Ahsanullah University of Science and Technology,23.76361084,90.40693665,0,6
Ahsanullah University of Science and Technology,23.76361084,90.40693665,1,1
Ahvaz Jundishapur University of Medical Sciences,40.945847,40.266544,0,2
AiCure (United States),39.50357056,-99.01834106,0,1
Aichi Cancer Center,34.98275757,137.15332031,0,3
Aichi Cancer Center,34.98275757,137.15332031,1,8
Aichi Institute of Technology,35.18360138,137.1118927,0,1
Aichi Institute of Technology,35.18360138,137.1118927,1,1
Aichi Medical University,35.19250107,137.0473938,1,1
Aichi Medical University Hospital,35.19250107,137.0473938,0,2
Aichi Medical University Hospital,35.19250107,137.0473938,1,1
Aichi Prefectural University,35.18199921,137.08700562,0,3
Ain Shams University,30.0770607,31.28478622,0,25
Ain Shams University,30.0770607,31.28478622,1,3
Air Force Engineering University,34.27378082,109.03617096,0,19
Air Force Engineering University,34.27378082,109.03617096,1,4
Air Force General Hospital PLA,39.90531158,116.2712326,1,1
Air Force Institute of Technology,39.78159332,-84.08363342,0,9
Air Force Medical University,34.25336075,117.26022339,0,19
Air Force Medical University,34.25336075,117.26022339,1,8
Air Liquide (United States),39.50357056,-99.01834106,1,1
Air University,25.13563347,85.4458313,0,10
Air University,25.13563347,85.4458313,1,1
Airbus (France),43.334291,-0.506451,0,2
Airbus (Germany),54.203227,-4.642424,0,3
Airbus (United Kingdom),53.9438324,-2.55056405,0,2
Airbus (United Kingdom),53.9438324,-2.55056405,1,1
Aitek (Italy),43.52555084,12.1600008,0,1
Aix-Marseille University,43.29358292,5.35791349,0,7
Aix-Marseille University,43.29358292,5.35791349,1,8
Ajloun National University,32.3323288,35.75205231,0,1
Ajman University,25.41244888,55.50659943,0,1
Ajou University,37.28291321,127.04606628,0,24
Ajou University,37.28291321,127.04606628,1,8
Akal University,29.97028351,75.08785248,0,1
Akdeniz University,36.89720154,30.65189934,0,2
Akdeniz University Hospital,36.89720154,30.65189934,0,2
Al Akhawayn University,33.53937531,-5.10640907,0,5
Al Azhar University,30.04582977,31.26250076,0,1
Al Baha University,19.99458313,41.48343277,0,3
Al Jouf University,29.79163551,40.04642105,0,9
Al Khawarizmi International College,24.51693535,54.6656189,0,2
Al Madinah International University,14.1935121,46.386828,0,1
Al Mansour University College,51.52430344,-0.1332151,0,7
Al Yamamah University,24.86283112,46.59208298,0,1
Al Yamamah University,24.86283112,46.59208298,1,1
Al al-Bayt University,14.16047,45.649564,0,4
Al-Ahliyya Amman University,31.9515686,35.92396164,0,3
Al-Azhar University – Gaza,30.04582977,31.26250076,0,2
Al-Balqa Applied University,32.02429581,35.71693039,0,9
Al-Balqa Applied University,32.02429581,35.71693039,1,1
Al-Muthanna University,30.5923748,45.29160309,0,1
Al-Quds University,16.95347023,42.84540176,0,1
Al-Zaytoonah University of Jordan,32.01373291,35.87342834,0,1
Alabama Agricultural and Mechanical University,34.78464127,-86.56994629,1,1
Alacris (Germany),51.09198761,10.38080788,0,4
Alagappa University,10.09255505,78.78659821,0,1
Alagappa University,10.09255505,78.78659821,1,2
Alanus University of Arts and Social Sciences,50.73249817,6.99944019,0,1
AlbaNova,59.35324478,18.05792999,0,1
Albany Medical Center Hospital,42.65316391,-73.77589417,0,1
Albany Medical Center Hospital,42.65316391,-73.77589417,1,4
Albany State University,35.84444,-90.676506,0,9
Albany State University,35.84444,-90.676506,1,3
Albert Einstein College of Medicine,40.85326004,-73.84591675,0,4
Albert Einstein College of Medicine,40.85326004,-73.84591675,1,10
Albert Schweitzer Ziekenhuis,48.36738968,-116.6235199,0,1
Alberta Biodiversity Monitoring Institute,55.16930771,-114.51179504,0,2
Alberta Children's Hospital,51.07499313,-114.14830017,0,2
Alberta Children's Hospital,51.07499313,-114.14830017,1,1
Alberta Energy,55.16930771,-114.51179504,0,2
Alberta Health Services,36.86352,-77.88662,0,2
Alberta Innovates,55.16930771,-114.51179504,0,2
Albion College,42.24251175,-84.7485199,0,2
Alcatel Lucent (Germany),51.09198761,10.38080788,0,1
Alelo (United States),39.50357056,-99.01834106,1,1
Alessandro Manzoni Hospital,33.8861084,-117.27027893,0,1
Alexander Fleming Biomedical Sciences Research Center,43.97473526,-78.18437195,0,4
Alexander Fleming Biomedical Sciences Research Center,43.97473526,-78.18437195,1,1
Alexander Technological Educational Institute of Thessaloniki,40.64031601,22.93527222,0,2
Alexander von Humboldt Biological Resources Research Institute,-12.12716103,-77.00397491,0,1
Alexander von Humboldt Institute for Internet and Society,-12.12716103,-77.00397491,0,1
Alexandra Institute (Denmark),55.92668152,8.99186993,0,1
Alexandria University,31.20042419,29.90584183,0,11
Alexandria University,31.20042419,29.90584183,1,2
Alexandru Ioan Cuza University,47.17408371,27.57165909,0,4
Alfa College,6.06175041,116.18074799,0,1
Alfred Mann Foundation,43.47167206,-70.71970367,0,4
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,48.22249985,11.59333038,0,8
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,48.22249985,11.59333038,1,3
Alfried Krupp Hospital,51.4264183,7.00729895,0,1
Alhosn University,34.03219986,-118.481987,0,1
Aliah University,25.13563347,85.4458313,0,1
Alibaba Group (Cayman Islands),19.32145119,-81.22924805,0,1
Alibaba Group (China),36.55937195,103.7533493,0,63
Alibaba Group (China),36.55937195,103.7533493,1,13
Alibaba Group (United States),39.50357056,-99.01834106,0,34
Alibaba Group (United States),39.50357056,-99.01834106,1,7
Aligarh Muslim University,27.9145298,78.07752991,0,1
All India Council for Technical Education,22.35250664,79.36367798,0,1
All India Institute of Medical Sciences,28.56500053,77.20999908,0,3
Allameh Tabataba'i University,25.13563347,85.4458313,0,3
Allameh Tabataba'i University,25.13563347,85.4458313,1,1
Allegheny College,41.64897537,-80.14474487,0,1
Allegheny General Hospital,5.130843,-74.1573,0,2
Allegheny General Hospital,5.130843,-74.1573,1,1
Allen Institute,33.10419464,-96.67173767,0,52
Allen Institute,33.10419464,-96.67173767,1,12
Allen Institute for Artificial Intelligence,33.103306,-96.67198,0,26
Allen Institute for Artificial Intelligence,33.103306,-96.67198,1,8
Allen Institute for Brain Science,33.10419464,-96.67173767,0,5
Allen Institute for Brain Science,33.10419464,-96.67173767,1,11
Allen Institute for Cell Science,33.10419464,-96.67173767,0,11
Alliance for Health Policy and Systems Research,46.17121506,13.8357029,0,2
Alliance for Health Policy and Systems Research,46.17121506,13.8357029,1,2
Alliant International University,37.663947,68.8332062,0,1
Almac (United Kingdom),53.9438324,-2.55056405,0,1
Almen Laboratories (United States),39.50357056,-99.01834106,0,1
Alpha MOS (France),43.18128586,2.65444303,0,1
Alrafidain University College,33.36437988,44.40724564,0,2
Alstom (France),48.70217133,6.18705273,0,4
Alstom (Sweden),59.67497253,14.52085876,0,2
Alstom (United States),39.50357056,-99.01834106,0,2
Alstom (United States),39.50357056,-99.01834106,1,1
Altair Engineering (United States),40.35055161,-74.65154266,0,1
Altnagelvin Area Hospital,54.98547745,-7.29268599,0,1
Altınbaş University,41.05712509,28.82057762,0,1
Alzahra University,27.55916405,13.54578972,0,1
Alzforum,45.46936,4.40361,0,2
Alzforum,45.46936,4.40361,1,1
Alzheimer's Association,38.06835175,-78.4815979,1,4
Alzheimer's Drug Discovery Foundation,37.14321899,47.23596191,1,1
Alzheimer’s Disease Neuroimaging Initiative,32.897607766762725,-117.18006713020488,0,2
Amarillo College,35.18827057,-101.84722137,0,2
Amasya Üniversitesi,40.65465546,35.80497742,0,1
Amazon (Germany),51.09198761,10.38080788,0,15
Amazon (United Kingdom),53.9438324,-2.55056405,0,2
Amazon (United Kingdom),53.9438324,-2.55056405,1,1
Amazon (United States),46.3202095,-112.10722351,0,36
Amazon (United States),46.3202095,-112.10722351,1,5
American Association of Geographers,36.60667038,-83.71806335,0,1
American Association of Orthodontists,36.60667038,-83.71806335,0,1
American Association of Physics Teachers,36.60667038,-83.71806335,0,2
American Bar Foundation,39.00545502,-120.75354004,0,1
American College of Medical Genetics,33.454319,-117.08473206,0,1
American College of Medical Genetics,33.454319,-117.08473206,1,1
American College of Radiology,38.95095825,-77.32828522,0,2
American Friends of Tel Aviv University,26.3714695,-80.12716675,0,4
American Friends of Tel Aviv University,26.3714695,-80.12716675,1,1
American Institute of Aeronautics and Astronautics,38.94425583,-77.32118988,0,7
American Institute of Aeronautics and Astronautics,38.94425583,-77.32118988,1,4
American Institutes for Research,-37.70576477,145.18823242,0,3
American International University-Bangladesh,23.82205582,90.42744446,0,3
American Medical Association,38.69434738,-121.16650391,0,4
American Medical Association,38.69434738,-121.16650391,1,3
American Military Academy,38.72306061,-9.13860989,0,1
American Museum of Natural History,40.78067398,-73.973526,0,3
American Museum of Natural History,40.78067398,-73.973526,1,2
American Petroleum Institute,24.41798592,54.5013237,1,1
American Psychological Association,38.69434738,-121.16650391,1,1
American Rock Mechanics Association,50.06895447,19.99742317,0,2
American Society For Engineering Education,38.69434738,-121.16650391,0,1
American Society of Anesthesiologists,38.69434738,-121.16650391,0,1
American Society of Mechanical Engineers,38.69434738,-121.16650391,0,1
American Sociological Association,38.69434738,-121.16650391,0,1
American University,38.93717575,-77.08914185,0,9
American University,38.93717575,-77.08914185,1,1
American University in Cairo,30.01916885,31.50286293,0,3
American University in the Emirates,48.763382,11.424511,0,1
American University of Beirut,33.90034485,35.48219681,0,13
American University of Beirut,33.90034485,35.48219681,1,1
American University of Paris,36.3019,-88.326385,0,1
American University of Sharjah,25.31100655,55.49192429,0,16
American University of Sharjah,25.31100655,55.49192429,1,1
American University of Technology,34.09618759,35.65445709,0,1
American University of the Middle East,29.16497612,48.09918976,0,2
Amerikan Hastanesi,-22.739868,-47.332836,1,1
Ames Research Center,42.0259,-93.61373,0,36
Ames Research Center,42.0259,-93.61373,1,19
Amgen (United States),39.50357056,-99.01834106,0,13
Amgen (United States),39.50357056,-99.01834106,1,3
Amherst College,42.36981583,-72.51589203,0,4
Amherst College,42.36981583,-72.51589203,1,3
Amirkabir University of Technology,35.70434952,51.40946198,0,15
Amirkabir University of Technology,35.70434952,51.40946198,1,6
Amity University,28.54398727,77.33327484,0,12
Amman Arab University,32.11439896,35.88196945,1,1
Amoud University,9.94534206,43.22234726,0,2
Ampel BioSolutions (United States),39.50357056,-99.01834106,0,6
Ampel BioSolutions (United States),39.50357056,-99.01834106,1,1
Amphia Ziekenhuis,-34.3742485,20.6965332,0,1
Amrita Vishwa Vidyapeetham,10.9011097,76.90277863,0,32
Amrita Vishwa Vidyapeetham,10.9011097,76.90277863,1,1
Amsterdam Neuroscience,52.37316513,4.89065981,0,15
Amsterdam Neuroscience,52.37316513,4.89065981,1,13
Amsterdam UMC Location VUmc,52.33443832,4.86000013,0,20
Amsterdam UMC Location VUmc,52.33443832,4.86000013,1,20
Amsterdam University Medical Centers,52.36854172,4.89021587,0,15
Amsterdam University Medical Centers,52.36854172,4.89021587,1,7
Amsterdam University of Applied Sciences,52.35923386,4.9092679,0,4
Amsterdam University of Applied Sciences,52.35923386,4.9092679,1,2
Amsterdam University of the Arts,39.9460144,-75.16584015,0,7
Amsterdam University of the Arts,39.9460144,-75.16584015,1,2
Amyris (United States),39.50357056,-99.01834106,0,1
An-Najah National University,14.60436058,120.99435425,0,2
Anadolu University,39.79140091,30.49970055,0,5
Analysis & Policy Observatory,-33.94190598,18.46736908,0,1
Analysis Group (United States),39.50357056,-99.01834106,0,3
Andalusian Institute of Agricultural and Fisheries Research and Training,-13.71528053,32.89675903,0,1
Anderson University - South Carolina,34.51399994,-82.63800049,1,4
Andhra University,17.72752762,83.32344818,0,3
Andrews University,41.96357346,-86.35809326,0,2
Andrássy University Budapest,47.49211121,19.0641613,0,1
Angered Hospital,57.78588867,12.0904789,0,1
Angion (United States),39.50357056,-99.01834106,0,8
Angion (United States),39.50357056,-99.01834106,1,1
Anglia Ruskin University,52.20337677,0.13472199,0,17
Anglia Ruskin University,52.20337677,0.13472199,1,2
Angstrom Designs (United States),54.934252,48.832776,0,4
Angstrom Designs (United States),54.934252,48.832776,1,1
Anhalt University of Applied Sciences,51.82360077,11.70919991,0,1
Anhui Academy of Agricultural Sciences,31.82392883,117.23145294,0,1
Anhui Agricultural University,31.82392883,117.23145294,0,4
Anhui Agricultural University,31.82392883,117.23145294,1,1
Anhui Institute of Optics and Fine Mechanics,31.82392883,117.23145294,0,3
Anhui Normal University,31.82392883,117.23145294,0,4
Anhui Normal University,31.82392883,117.23145294,1,1
Anhui Polytechnic University,31.82392883,117.23145294,0,2
Anhui Polytechnic University,31.82392883,117.23145294,1,2
Anhui Science and Technology University,31.82392883,117.23145294,1,1
Anhui University,31.8455162,117.25159454,0,31
Anhui University,31.8455162,117.25159454,1,11
Anhui University of Science and Technology,40.945847,40.266544,0,12
Anhui University of Science and Technology,40.945847,40.266544,1,3
Anhui University of Technology,-33.90242004,151.20779419,0,4
Anhui University of Technology,-33.90242004,151.20779419,1,2
Anhui Xinhua University,33.77553177,117.37390137,0,2
Anhui and Huaihe River Institute of Hydraulic Research,31.82392883,117.23145294,0,3
Animal Health Trust,35.75284195,-82.87001801,1,1
Ankara University,39.93500137,32.83169937,0,10
Ankara Yıldırım Beyazıt University,39.94703674,32.85615921,0,3
Ann Arbor VA Medical Center,42.28141785,-83.74847412,0,3
Ann Arbor VA Medical Center,42.28141785,-83.74847412,1,2
Anna Freud Centre,34.15884399,-85.66727448,1,1
Anna Needs Neuroblastoma Answers,37.4620018,-89.24359131,0,1
"Anna University, Chennai",13.01356888,80.23641968,0,25
"Anna University, Chennai",13.01356888,80.23641968,1,1
Annamalai University,11.39731121,79.71922302,0,6
Anne Arundel Medical Center,38.99019241,-76.53513336,0,1
Annual Reviews,35.1276474,-3.58046031,0,1
Anqing Normal University,30.51416969,117.04805756,0,4
Anqing Normal University,30.51416969,117.04805756,1,1
Ansal University,28.43041992,77.11106873,0,2
Ansan University,37.31000137,126.87599945,0,1
Anshan Normal University,41.07619858,122.9960022,0,1
Anshan Normal University,41.07619858,122.9960022,1,1
AnsuR Technologies (Norway),59.91333008,10.7389698,0,2
Ansys (United States),39.50357056,-99.01834106,0,4
Antalya Bilim University,36.88639069,30.71048737,0,1
Antaros Medical (Sweden),44.13342,-70.822815,0,1
Anthem (United States),33.8651619,-112.13584137,0,1
Antwerp Maritime Academy,51.2408371,4.39893723,1,1
Antwerp University Hospital,51.22056198,4.39930964,0,3
Antwerp University Hospital,51.22056198,4.39930964,1,3
AnyBody Technology (Denmark),55.92668152,8.99186993,0,1
Anyang Hospital of Traditional Chinese Medicine,36.09804916,114.39273071,0,1
Anyang Hospital of Traditional Chinese Medicine,36.09804916,114.39273071,1,1
Anyang Institute of Technology,36.09804916,114.39273071,0,1
Anyang University,37.39167023,126.91972351,0,6
Anyang University,37.39167023,126.91972351,1,2
Aoyama Gakuin University,35.66110992,139.71055603,0,6
Aoyama Gakuin University,35.66110992,139.71055603,1,1
Apis Flora (Brazil),-21.63912392,-45.36228561,0,1
Apollo Hospitals,13.09834576,80.27980804,0,1
Apollo Hospitals,13.09834576,80.27980804,1,1
Appalachian Fruit Research Laboratory,39.41241837,-79.08674622,0,1
Appalachian State University,35.84444,-90.676506,0,9
Apple (United States),39.40284348,-82.70711517,0,1
Applied Behavioral Research (United States),39.50357056,-99.01834106,0,1
